table,county,year,All other production expenses,Average per farm,Cash rent for land buildings and grazing fees,Chemicals purchased,Contract labor,Customwork and custom hauling,Depreciation expenses claimed,Feed purchased,Fertilizer lime and soil conditioners purchased,Gasoline fuels and oils purchased,Hired farm labor,Interest expense,Livestock and poultry purchased or leased,Property taxes paid,Rent and lease expenses for machinery equipment and farm share of vehicles,Repairs supplies and maintenance cost,Seeds plants vines and trees purchased,Total farm production expenditures,Utilities
pdfplumber_p00_t00_mixed,Autauga,2007,1623.0,40006.0,782.0,599.0,333.0,172.0,1849.0,1667.0,1472.0,1298.0,3618.0,1100.0,333.0,375.0,331.0,1811.0,564.0,16602.0,525.0
pdfplumber_p00_t00_mixed,Autauga,2012,842.0,47083.0,1121.0,1250.0,244.0,203.0,2074.0,3174.0,2237.0,1547.0,2042.0,892.0,610.0,418.0,343.0,1537.0,1246.0,18315.0,609.0
pdfplumber_p01_t00_mixed,Bullock,2007,1888.0,119275.0,532.0,920.0,187.0,381.0,1704.0,6357.0,1210.0,2193.0,5298.0,1119.0,1485.0,586.0,,1869.0,,33039.0,1968.0
pdfplumber_p01_t00_mixed,Bullock,2012,1429.0,150294.0,750.0,861.0,,220.0,1633.0,12106.0,1637.0,2712.0,5965.0,1591.0,,834.0,,2197.0,3634.0,41030.0,1988.0
pdfplumber_p01_t00_mixed,Butler,2007,5879.0,162574.0,403.0,336.0,207.0,67.0,2540.0,37120.0,963.0,1913.0,2115.0,1540.0,24133.0,420.0,,2256.0,,79661.0,1603.0
pdfplumber_p01_t00_mixed,Butler,2012,1625.0,228095.0,434.0,391.0,107.0,700.0,4528.0,46330.0,1016.0,1932.0,2342.0,1916.0,31514.0,449.0,,1817.0,491.0,92835.0,1739.0
pdfplumber_p02_t00_mixed,Choctaw,2007,846.0,39593.0,163.0,119.0,43.0,19.0,537.0,5469.0,354.0,395.0,227.0,320.0,1265.0,211.0,43.0,750.0,64.0,10452.0,165.0
pdfplumber_p02_t00_mixed,Choctaw,2012,137.0,26635.0,439.0,129.0,60.0,42.0,562.0,3180.0,333.0,377.0,123.0,259.0,662.0,173.0,23.0,315.0,202.0,6606.0,151.0
pdfplumber_p05_t00_mixed,Hale,2007,,,,,,,,,1433.0,,,,,,,,,53126.0,
pdfplumber_p05_t00_mixed,Hale,2012,,,,,,,,,900.0,,,,,,,,,51693.0,
pdfplumber_p05_t00_mixed,Henry,2007,,,,,,,,,3324.0,,,,,,,,,42334.0,
pdfplumber_p05_t00_mixed,Henry,2012,,,,,,,,,6480.0,,,,,,,,,62822.0,
pdfplumber_p05_t00_mixed,Houston,2007,,,,,,,,,7492.0,,,,,,,,,59771.0,
pdfplumber_p05_t00_mixed,Houston,2012,,,,,,,,,12979.0,,,,,,,,,81419.0,
pdfplumber_p05_t00_mixed,Jackson,2007,,,,,,,,,5783.0,,,,,,,,,90399.0,
pdfplumber_p05_t00_mixed,Jackson,2012,,,,,,,,,6731.0,,,,,,,,,96495.0,
pdfplumber_p05_t00_mixed,Jefferson,2007,,,,,,,,,491.0,,,,,,,,,19197.0,
pdfplumber_p05_t00_mixed,Jefferson,2012,,,,,,,,,490.0,,,,,,,,,11932.0,
pdfplumber_p05_t00_mixed,Lamar,2007,,,,,,,,,565.0,,,,,,,,,6905.0,
pdfplumber_p05_t00_mixed,Lamar,2012,,,,,,,,,600.0,,,,,,,,,8583.0,
pdfplumber_p05_t00_mixed,Lauderdale,2007,,,,,,,,,6130.0,,,,,,,,,44227.0,
pdfplumber_p05_t00_mixed,Lauderdale,2012,,,,,,,,,11323.0,,,,,,,,,69820.0,
