county,year,Total farm production expenditures,Average per farm,Fertilizer lime and soil conditioners purchased,Chemicals purchased,Seeds plants vines and trees purchased,Livestock and poultry purchased or leased,Breeding livestock purchased or leased,Other livestock and poultry purchased or leased,Feed purchased,Gasoline fuels and oils purchased,Utilities,Repairs supplies and maintenance cost,Hired farm labor,Contract labor,Customwork and custom hauling,Cash rent for land buildings and grazing fees,Rent and lease expenses for machinery equipment and farm share of vehicles,Interest expense,Property taxes paid,All other production expenses,Depreciation expenses claimed
Apache,2007,30127.0,7100.0,307.0,198.0,258.0,2860.0,629.0,,18814.0,7745.0,1107.0,3247.0,1306.0,199.0,66.0,732.0,96.0,606.0,555.0,1054.0,1239.0
Apache,2012,43682.0,7813.0,423.0,333.0,1183.0,355.0,797.0,,3919.0,9042.0,1215.0,3429.0,3134.0,823.0,318.0,67.0,156.0,610.0,613.0,1172.0,2857.0
Arizona,2007,2782786.0,177962.0,221706.0,133675.0,148445.0,166502.0,46303.0,,795229.0,146118.0,104463.0,144191.0,380491.0,76645.0,51758.0,163186.0,27822.0,65119.0,32745.0,211727.0,160562.0
Arizona,2012,3258922.0,162905.0,3106.0,2525.0,3829.0,2283.0,20253.0,,12611.0,189338.0,156545.0,179001.0,459771.0,97429.0,86103.0,1537.0,43684.0,78184.0,42014.0,298111.0,211368.0
Cochise,2007,105766.0,99310.0,11286.0,5667.0,5280.0,2276.0,1032.0,,24763.0,6970.0,12163.0,7804.0,10359.0,3746.0,3258.0,8686.0,621.0,6879.0,2496.0,9085.0,9040.0
Cochise,2012,139313.0,127460.0,278.0,210.0,195.0,247.0,1253.0,,682.0,8144.0,16168.0,9006.0,16195.0,5357.0,5723.0,240.0,945.0,7129.0,3731.0,8961.0,13273.0
Coconino,2007,28445.0,17812.0,54.0,23.0,89.0,2131.0,818.0,,12948.0,3874.0,899.0,2313.0,4390.0,412.0,77.0,1270.0,30.0,876.0,782.0,1917.0,1804.0
Coconino,2012,36323.0,16223.0,158.0,113.0,331.0,180.0,953.0,,1489.0,5609.0,986.0,2457.0,4796.0,523.0,624.0,40.0,117.0,856.0,944.0,2897.0,3480.0
Gila,2007,6147.0,22031.0,30.0,27.0,38.0,734.0,295.0,,1375.0,565.0,200.0,648.0,1449.0,,20.0,348.0,,256.0,423.0,291.0,3036.0
Gila,2012,6799.0,34868.0,26.0,25.0,25.0,55.0,549.0,,251.0,730.0,309.0,480.0,1293.0,157.0,30.0,39.0,16.0,394.0,338.0,501.0,955.0
Graham,2007,144314.0,420740.0,10220.0,6724.0,10651.0,492.0,,,,20140.0,4684.0,5754.0,,,1043.0,,,2506.0,2257.0,,15354.0
Graham,2012,179576.0,435864.0,118.0,104.0,111.0,68.0,133.0,,216.0,13388.0,7308.0,7312.0,39813.0,901.0,1481.0,68.0,1115.0,14268.0,4286.0,,13049.0
Greenlee,2007,6355.0,50036.0,654.0,71.0,195.0,300.0,542.0,,2663.0,683.0,401.0,713.0,950.0,158.0,242.0,309.0,89.0,174.0,218.0,234.0,837.0
Greenlee,2012,9986.0,62806.0,49.0,39.0,38.0,31.0,260.0,,103.0,839.0,625.0,1164.0,1391.0,263.0,216.0,38.0,50.0,472.0,197.0,575.0,1380.0
La Paz,2007,115982.0,1171534.0,19978.0,10392.0,6264.0,801.0,,,,,4928.0,8073.0,9875.0,16757.0,4321.0,16602.0,2925.0,1374.0,620.0,7761.0,5017.0
La Paz,2012,152145.0,1217160.0,54.0,45.0,44.0,13.0,446.0,,36.0,8974.0,11429.0,11116.0,13908.0,9475.0,7042.0,54.0,3124.0,1459.0,1422.0,18146.0,10459.0
Maricopa,2007,701856.0,391442.0,42311.0,22343.0,43193.0,17208.0,,,352986.0,,30105.0,42325.0,135451.0,8138.0,15138.0,31046.0,8369.0,17915.0,7542.0,49695.0,35663.0
Maricopa,2012,947157.0,382072.0,593.0,549.0,355.0,347.0,4892.0,,1254.0,37357.0,39875.0,49670.0,147999.0,14086.0,20359.0,264.0,10809.0,19876.0,10592.0,87448.0,46482.0
Mohave,2007,19425.0,58159.0,2785.0,2349.0,1499.0,611.0,247.0,,4407.0,1791.0,835.0,2541.0,3102.0,94.0,1214.0,2613.0,201.0,1075.0,824.0,1425.0,2036.0
Mohave,2012,38122.0,113798.0,47.0,41.0,31.0,92.0,369.0,,262.0,2975.0,1973.0,3731.0,7117.0,407.0,2422.0,53.0,306.0,2277.0,750.0,1899.0,3115.0
Navajo,2007,59818.0,20284.0,177.0,48.0,243.0,1731.0,1184.0,,48179.0,6677.0,2078.0,3776.0,7690.0,363.0,587.0,1724.0,112.0,879.0,971.0,1401.0,2974.0
Navajo,2012,80310.0,20881.0,361.0,201.0,812.0,393.0,536.0,,2707.0,7353.0,2527.0,5658.0,7307.0,215.0,730.0,66.0,40.0,350.0,1070.0,2958.0,4146.0
Pima,2007,69281.0,111384.0,5395.0,3206.0,6184.0,4357.0,832.0,,11138.0,4400.0,4131.0,5951.0,,,1222.0,,396.0,910.0,1854.0,,7929.0
Pima,2012,92309.0,107963.0,125.0,122.0,89.0,125.0,958.0,,458.0,5839.0,6469.0,5962.0,23266.0,2129.0,1648.0,96.0,547.0,1977.0,2796.0,,5965.0
Pinal S,2007,752979.0,959208.0,39612.0,21490.0,19106.0,116347.0,,,283486.0,25613.0,30544.0,33296.0,77871.0,9576.0,16068.0,28966.0,7191.0,17157.0,6049.0,36415.0,33878.0
Pinal S,2012,792224.0,844589.0,319.0,289.0,272.0,157.0,4852.0,,434.0,31979.0,40936.0,31915.0,62492.0,13345.0,20639.0,243.0,10384.0,10399.0,6126.0,55001.0,28989.0
Yavapai,2007,50428.0,66703.0,410.0,252.0,1673.0,5071.0,780.0,,7082.0,4319.0,1760.0,5687.0,8561.0,780.0,794.0,2023.0,106.0,3161.0,2585.0,3202.0,5618.0
Yavapai,2012,52515.0,55867.0,175.0,129.0,137.0,153.0,2001.0,,569.0,4169.0,3130.0,4311.0,12196.0,1359.0,165.0,133.0,289.0,3359.0,2919.0,4106.0,5441.0
Yuma,2007,683572.0,1512327.0,88411.0,60850.0,53547.0,6966.0,18.0,,11260.0,,10250.0,21245.0,77446.0,31367.0,7641.0,59118.0,6429.0,9455.0,5174.0,36185.0,35295.0
Yuma,2012,671092.0,1194113.0,355.0,300.0,187.0,23.0,75.0,,90.0,52152.0,23119.0,41839.0,116297.0,48142.0,24652.0,107.0,15759.0,11726.0,5572.0,51679.0,70233.0
anta Cruz,2007,8292.0,42964.0,76.0,36.0,226.0,4615.0,,,3243.0,1294.0,380.0,818.0,1490.0,90.0,68.0,1450.0,12.0,745.0,396.0,487.0,840.0
anta Cruz,2012,17368.0,73592.0,25.0,25.0,19.0,44.0,383.0,,141.0,786.0,473.0,951.0,2567.0,247.0,56.0,29.0,27.0,1365.0,657.0,592.0,1544.0
